RX_MMSI,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,ROT,SOG,Position_Accuracy,Longitude,Latitude,COG,True_Heading,Time_Stamp,Ship_and_Cargo_Type,Reference_Position_A,Reference_Position_B,Reference_Position_C,Reference_Position_D,Fixing_Device,ETA,MAX_Draught,Destination,DTE,Record_Time
004161805,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.7,1,120.301395,24.068773,198,201,37,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:23:35
004161804,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.7,1,120.301395,24.068773,198,201,37,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:23:34
004161805,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,127,6.7,1,120.301522,24.069130,197.2,202,25,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:23:23
004161805,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,-127,6.8,1,120.301313,24.068532,197.8,201,45,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:23:43
004161805,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.7,1,120.301197,24.068200,197.7,201,56,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:23:54
004161805,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.8,1,120.300898,24.067325,197.5,202,25,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:24:23
004161804,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.8,1,120.300898,24.067325,197.5,202,25,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:24:23
004161805,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.8,1,120.300558,24.066397,198.6,202,57,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:24:54
004161804,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.8,1,120.300558,24.066397,198.6,202,57,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:24:54
004161805,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.8,1,120.300680,24.066727,198.5,202,46,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:24:43
004161804,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.8,1,120.300680,24.066727,198.5,202,46,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:24:43
004161805,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.8,1,120.300982,24.067567,197.6,201,17,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:24:15
